song,level,lyrics
Sun King,4,Aaaaahhhhhhhhhh...<br>Here comes the Sun King<br>Here comes the Sun King<br>Everybody's laughing<br>Everybody's happy<br>Here comes the Sun King<br><br>Quando paramucho mi amore de felice carathon<br>Mundo paparazzi mi amore cicce verdi parasol<br>Questo abrigado tantamucho que canite carousel
Taxman,3,"1,2,3,4<br><br>Hrmm!<br><br>1,2...<br><br>1,2,3,4.<br><br>Let me tell you how it will be<br>There's one for you, nineteen for me<br>Cos I'm the taxman, yeah, I'm the taxman<br><br>Should five per cent appear too small<br>Be thankful I don't take it all<br>Cos I'm the taxman, yeah I'm the taxman<br><br>If you drive a car, I'll tax the street<br>If you try to sit, I'll tax your seat<br>If you get too cold I'll tax the heat<br>If you take a walk, I'll tax your feet<br><br>Taxman!<br>Cos I'm the taxman, yeah I'm the taxman<br><br>Don't ask me what I want it for (Aahh Mr. Wilson)<br>If you don't want to pay some more (Aahh Mr. Heath)<br>Cos I'm the taxman, yeah, I'm the taxman<br><br>Now my advice for those who die<br>Declare the pennies on your eyes<br>Cos I'm the taxman, yeah, I'm the taxman<br><br>And you're working for no one but me<br>Taxman!"
Tell Me What You See,4,"If you let me take your heart I will prove to you<br>We will never be apart if I'm part of you<br>Open up your eyes now, tell me what you see<br>It is no surprise now, what you see is me<br><br>Big and black the clouds may be, time will pass away<br>If you put your trust in me I'll make bright your day<br>Look into these eyes now, tell me what you see<br>Don't you realise now, what you see is me<br>Tell me what you see<br><br>Listen to me one more time, how can I get through?<br>Can't you try to see that I'm trying to get to you?<br>Open up your eyes now, tell me what you see<br>It is no surprise now, what you see is me<br>Tell me what you see<br><br>Listen to me one more time, how can I get through?<br>Can't you try to see that I'm trying to get to you?<br>Open up your eyes now, tell me what you see<br>It is no surprise now, what you see is me"
Tell Me Why,4,"Tell me why you cried<br>And why you lied to me<br>Tell me why you cried<br>And why you lied to me<br><br>Well, I gave you everything I had<br>But you left me sitting on my own<br>Did you have to treat me oh so bad?<br>All I do is hang my head and moan<br><br>Tell me why you cried<br>And why you lied to me<br>Tell me why you cried<br>And why you lied to me<br><br>If it's something that I've said or done<br>Tell me what, and I'll apologize<br>If you don't I really can't go on<br>Holding back these tears in my eyes<br><br>Tell me why you cried<br>And why you lied to me<br>Tell me why you cried<br>And why you lied to me<br><br>Well, I beg you on my bended knees<br>If you'll only listen to my pleas<br>Is there anything I can do<br>'Cause I really can't stand it, I'm so in love with you<br><br>Tell me why you cried<br>And why you lied to me<br>Tell me why you cried<br>And why you lied to me"
Thank You Girl,4,"Oh, oh, you've been good to me<br>You made me glad<br>When I was blue<br>And eternally I'll always be<br>In love with you<br>And all I gotta do<br>Is thank you girl, thank you girl<br><br>I could tell the world<br>A thing or two about our love<br>I know little girl<br>Only a fool would doubt our love<br>And all I gotta do<br>Is thank you girl, thank you girl<br><br>Thank you girl for loving me<br>The way that you do (Way that you do)<br>That's the kind of love<br>That is too good to be true<br>And all I gotta do<br>Is thank you girl, thank you girl<br><br>Oh, oh, you've been good to me<br>You made me glad<br>When I was blue<br>And eternally I'll always be<br>In love with you<br>And all I gotta do<br>Is thank you girl, thank you girl<br><br>Oh, oh, oh<br>Oh, oh, oh<br>Oh, oh"
The Ballad Of John And Yoko,1,"Standing in the dock at Southampton<br>Trying to get to Holland or France<br>The man in the mac said, You've got to go back<br>You know they didn't even give us a chance<br><br>Christ you know it ain't easy<br>You know how hard it can be<br>The way things are going<br>They're going to crucify me<br><br>Finally made the plane into Paris<br>Honeymooning down by the Seine<br>Peter Brown called to say<br>You can make it OK<br>You can get married in Gibraltar, near Spain<br><br>Christ you know it ain't easy<br>You know how hard it can be<br>The way things are going<br>They're going to crucify me<br><br>Drove from Paris to the Amsterdam Hilton<br>Talking in our beds for a week<br>The newspapers said, Say what you doing in bed?<br>I said, We're only trying to get us some peace<br><br>Christ you know it ain't easy<br>You know how hard it can be<br>The way things are going<br>They're going to crucify me<br><br>Saving up your money for a rainy day<br>Giving all your clothes to charity<br>Last night the wife said<br>Poor boy, when you're dead<br>You don't take nothing with you<br>But your soul, think!<br><br>Made a lightning trip to Vienna<br>Eating chocolate cake in a bag<br>The newspapers said, She's gone to his head<br>They look just like two gurus in drag<br><br>Christ you know it ain't easy<br>You know how hard it can be<br>The way things are going<br>They're going to crucify me<br><br>Caught an early plane back to London<br>Fifty acorns tied in a sack<br>The men from the press said, We wish you success<br>It's good to have the both of you back<br><br>Christ you know it ain't easy<br>You know how hard it can be<br>The way things are going<br>They're going to crucify me<br>The way things are going<br>They're going to crucify me"
The Continuing Story Of Bungalow Bill,4,"Hey, Bungalow Bill<br>What did you kill, Bungalow Bill?<br>Hey, Bungalow Bill<br>What did you kill, Bungalow Bill?<br><br>He went out tiger hunting with his elephant and gun<br>In case of accidents he always took his mum<br>He's the all American bullet-headed Saxon mother's son<br>All the children sing<br><br>Hey, Bungalow Bill<br>What did you kill, Bungalow Bill?<br>Hey, Bungalow Bill<br>What did you kill, Bungalow Bill?<br><br>Deep in the jungle where the mighty tiger lies<br>Bill and his elephants were taken by surprise<br>So Captain Marvel zapped him right between the eyes, zap!<br>All the children sing<br><br>Hey, Bungalow Bill<br>What did you kill, Bungalow Bill?<br>Hey, Bungalow Bill<br>What did you kill, Bungalow Bill?<br><br>The children asked him if to kill was not a sin<br>""Not when he looked so fierce"", his mummy butted in<br>If looks could kill it would have been us instead of him<br>All the children sing<br><br>Hey, Bungalow Bill<br>What did you kill, Bungalow Bill?<br>Hey, Bungalow Bill<br>What did you kill, Bungalow Bill?<br><br>Oh ho!<br><br>Hey, Bungalow Bill<br>What did you kill, Bungalow Bill?<br>Hey, Bungalow Bill<br>What did you kill, Bungalow Bill?<br><br>Hey, Bungalow Bill<br>What did you kill, Bungalow Bill?<br>Hey, Bungalow Bill<br>What did you kill, Bungalow Bill?<br><br>Hey, Bungalow Bill<br>What did you kill, Bungalow Bill?<br>Hey, Bungalow Bill<br>What did you kill, Bungalow Bill?<br><br>Ey op!"
The End,4,"Oh yeah, all right<br>Are you going to be in my dreams<br>Tonight?<br><br>And in the end<br>The love you take<br>Is equal to the love<br>You make"
The Fool On The Hill,2,"Day after day, alone on a hill<br>The man with the foolish grin is keeping perfectly still<br>But nobody wants to know him<br>They can see that he's just a fool<br>And he never gives an answer<br><br>But the fool on the hill<br>Sees the sun going down<br>And the eyes in his head<br>See the world spinning 'round<br><br>Well on the way, head in a cloud<br>The man of a thousand voices talking perfectly loud<br>But nobody ever hears him<br>Or the sound he appears to make<br>And he never seems to notice<br><br>But the fool on the hill<br>Sees the sun going down<br>And the eyes in his head<br>See the world spinning 'round<br><br>And nobody seems to like him<br>They can tell what he wants to do<br>And he never shows his feelings<br><br>But the fool on the hill<br>Sees the sun going down<br>And the eyes in his head<br>See the world spinning 'round<br><br>He never listens to them<br>He knows that they're the fools<br>They don't like him<br><br>The fool on the hill<br>Sees the sun going down<br>And the eyes in his head<br>See the world spinning 'round"
The Inner Light,4,Without going out of my door<br>I can know all things on Earth<br>Without looking out of my window<br>I could know the ways of Heaven<br><br>The farther one travels<br>The less one knows<br>The less one really knows<br><br>Without going out of your door<br>You can know all things on Earth<br>Without looking out of your window<br>You could know the ways of Heaven<br><br>The farther one travels<br>The less one knows<br>The less one really knows<br><br>Arrive without travelling<br>See all without looking<br>Do all without doing
The Long And Winding Road,1,"The long and winding road, that leads, to your door<br>Will never disappear, I've seen that road before<br>It always leads me here, lead me to your door<br>The wild and windy night, that the rain, washed away<br>Has left a pool of tears, crying for the day<br>Why leave me standing here, let me know the way<br><br>Many times I've been alone, and many times I've cried<br>Any way you'll never know, the many ways I've tried<br>And still they lead me back, to the long winding road<br>You left me standing here a long long time ago<br>Don't leave me waiting here, lead me to your door<br><br>But still they lead me back to the long winding road<br>You left me standing here, a long long time ago<br>Don't keep me waiting here (Don't keep me waiting), lead me to your door<br>Yeah, yeah, yeah, yeah"
The Night Before,4,"We said our goodbyes, ah, the night before<br>Love was in your eyes, ah, the night before<br>Now today I find you have changed your mind<br>Treat me like you did the night before<br><br>Were you telling lies, ah, the night before?<br>Was I so unwise, ah, the night before?<br>When I held you near you were so sincere<br>Treat me like you did the night before<br><br>Last night is a night I will remember you by<br>When I think of things we did it makes me wanna cry<br><br>We said our goodbye, ah, the night before<br>Love was in your eyes, ah, the night before<br>Now today I find you have changed your mind<br>Treat me like you did the night before<br><br>Yes<br><br>When I held you near you were so sincere<br>Treat me like you did the night before<br><br>Last night is a night I will remember you by<br>When I think of things we did it makes me wanna cry<br><br>Were you telling lies, ah, the night before?<br>Was I so unwise, ah, the night before?<br>When I held you near you were so sincere<br>Treat me like you did the night before<br>Like the night before"
The Word,4,"Say the word and you'll be free<br>Say the word and be like me<br>Say the word I'm thinking of<br>Have you heard the word is love?<br>It's so fine, it's sunshine<br>It's the word, love<br><br>In the beginning I misunderstood<br>But now I've got it, the word is good<br><br>Spread the word and you'll be free<br>Spread the word and be like me<br>Spread the word I'm thinking of<br>Have you heard the word is love?<br>It's so fine, it's sunshine<br>It's the word, love<br><br>Everywhere I go I hear it said<br>In the good and the bad books that I have read<br><br>Say the word and you'll be free<br>Say the word and be like me<br>Say the word I'm thinking of<br>Have you heard the word is love?<br>It's so fine, it's sunshine<br>It's the word, love<br><br>Now that I know what I feel must be right<br>I'm here to show everybody the light<br><br>Give the word a chance to say<br>That the word is just the way<br>It's the word I'm thinking of<br>And the only word is love<br>It's so fine, it's sunshine<br>It's the word, love<br><br>Say the word, love<br>Say the word, love<br>Say the word, love<br>Say the word, love"
There's A Place,4,"There is a place<br>Where I can go<br>When I feel low<br>When I feel blue<br>And it's my mind<br>And there's no time when I'm alone<br><br>I think of you<br>And things you do<br>Go 'round my head<br>The things you said<br>Like ""I love only you""<br><br>In my mind there's no sorrow<br>Don't you know that it's so<br>There'll be no sad tomorrow<br>Don't you know that it's so<br><br>There is a place<br>Where I can go<br>When I feel low<br>When I feel blue<br>And it's my mind<br>And there's no time when I'm alone<br><br>There's a place..."
Things We Said Today,4,"You say you will love me<br>If I have to go<br>You'll be thinking of me<br>Somehow I will know<br>Someday when I'm lonely<br>Wishing you weren't so far away<br>Then I will remember<br>Things we said today<br><br>You say you'll be mine, girl<br>Till the end of time<br>These days such a kind girl<br>Seems so hard to find<br>Someday when we're dreaming<br>Deep in love, not a lot to say<br>Then we will remember<br>Things we said today<br><br>Me, I'm just the lucky kind<br>Love to hear you say that love is luck<br>And though we may be blind<br>Love is here to stay and that's enough<br><br>To make you mine, girl<br>Be the only one<br>Love me all the time, girl<br>We'll go on and on<br>Someday when we're dreaming<br>Deep in love, not a lot to say<br>Then we will remember<br>Things we said today<br><br>Me, I'm just the lucky kind<br>Love to hear you say that love is luck<br>Though we may be blind<br>Love is here to stay and that's enough<br><br>To make you mine, girl<br>Be the only one<br>Love me all the time, girl<br>We'll go on and on<br>Someday when we're dreaming<br>Deep in love, not a lot to say<br>Then we will remember<br>Things we said today"
Think For Yourself,4,I've got a word or two<br>To say about the things that you do<br>You're telling all those lies<br>About the good things that we can have<br>If we close our eyes<br><br>Do what you want to do<br>And go where you're going to<br>Think for yourself<br>Cos I won't be there with you<br><br>I left you far behind<br>The ruins of the life that you have in mind<br>And though you still can't see<br>I know your mind's made up<br>You're gonna cause more misery<br><br>Do what you want to do<br>And go where you're going to<br>Think for yourself<br>Cos I won't be there with you<br><br>Although your mind's opaque<br>Try thinking more if just for your own sake<br>The future still looks good<br>And you've got time to rectify<br>All the things that you should<br><br>Do what you want to do<br>And go where you're going to<br>Think for yourself<br>Cos I won't be there with you<br><br>Do what you want to do<br>And go where you're going to<br>Think for yourself<br>Cos I won't be there with you<br>Think for yourself<br>Cos I won't be there with you
This Boy,3,"That boy took my love away<br>Though he'll regret it someday<br>But this boy wants you back again<br><br>That boy isn't good for you<br>Though he may want you too<br>This boy wants you back again<br><br>Oh, and this boy would be happy<br>Just to love you, but oh my<br>That boy won't be happy<br>Till he's seen you cry<br><br>This boy wouldn't mind the pain<br>Would always feel the same<br>If this boy gets you back again<br><br>This boy<br>This boy<br>This boy [fade out]"
Ticket To Ride,1,"I think I'm gonna be sad<br>I think it's today, yeah<br>The girl that's driving me mad<br>Is going away<br><br>She's got a ticket to ride<br>She's got a ticket to ride<br>She's got a ticket to ride<br>But she don't care<br><br>She said that living with me<br>Is bringing her down, yeah<br>For she would never be free<br>When I was around<br><br>She's got a ticket to ride<br>She's got a ticket to ride<br>She's got a ticket to ride<br>But she don't care<br><br>I don't know why she's riding so high<br>She ought to think twice<br>She ought to do right by me<br>Before she gets to saying goodbye<br>She ought to think twice<br>She ought to do right by me<br><br>I think I'm gonna be sad<br>I think it's today, yeah<br>The girl that's driving me mad<br>Is going away, yeah<br><br>Oh, she's got a ticket to ride<br>She's got a ticket to ride<br>She's got a ticket to ride<br>But she don't care<br><br>I don't know why she's riding so high<br>She ought to think twice<br>She ought to do right by me<br>Before she gets to saying goodbye<br>She ought to think twice<br>She ought to do right by me<br><br>She said that living with me<br>Is bringing her down, yeah<br>For she would never be free<br>When I was around<br><br>Ah, she's got a ticket to ride<br>She's got a ticket to ride<br>She's got a ticket to ride<br>But she don't care<br><br>My baby don't care, my baby don't care<br>My baby don't care, my baby don't care<br>My baby don't care, my baby don't care (fade out)"
Till There Was You,4,"There were bells on a hill<br>But I never heard them ringing<br>No, I never heard them at all<br>Till there was you<br><br>There were birds in the sky<br>But I never saw them winging<br>No, I never saw them at all<br>Till there was you<br><br>Then there was music and wonderful roses<br>They tell me in sweet fragrant meadows<br>Of dawn and dew<br><br>There was love all around<br>But I never heard it singing<br>No, I never heard it at all<br>Till there was you<br><br>Then there was music and wonderful roses<br>They tell me in sweet fragrant meadows<br>Of dawn and dew<br><br>There was love all around<br>But I never heard it singing<br>No, I never heard it at all<br>Till there was you<br>Till there was you"
Tomorrow Never Knows,3,"Turn off your mind, relax and float down stream<br>It is not dying, it is not dying<br><br>Lay down all thoughts, surrender to the void<br>It is shining, it is shining<br><br>Yet you may see the meaning of within<br>It is being, it is being<br><br>Love is all and love is everyone<br>It is knowing, it is knowing...<br><br>... that ignorance and hates may mourn the dead<br>It is believing, it is believing<br><br>But listen to the colour of your dreams<br>It is not living, it is not living<br><br>So play the game ""Existence"" to the end...<br>... Of the beginning, of the beginning<br>Of the beginning, of the beginning<br>Of the beginning, of the beginning<br>Of the beginning, of the beginning"
Twist And Shout,3,"Well, shake it up, baby, now (Shake it up, baby)<br>Twist and shout (Twist and shout)<br>C'mon c'mon, c'mon, c'mon, baby, now (Come on baby)<br>Come on and work it on out (Work it on out)<br><br>Well, work it on out, honey (Work it on out)<br>You know you look so good (Look so good)<br>You know you got me goin' now (Got me goin')<br>Just like I knew you would (Like I knew you would)<br><br>Well, shake it up, baby, now (Shake it up, baby)<br>Twist and shout (Twist and shout)<br>C'mon, c'mon, c'mon, c'mon, baby, now (Come on, baby)<br>Come on and work it on out (Work it on out)<br><br>Well, you twist, you little girl (Twist, little girl)<br>You know you twist so fine (Twist so fine)<br>Come on and twist a little closer now (Twist a little closer)<br>And let me know that you're mine (Let me know you're mine)<br><br>Well, shake it up, baby, now (Shake it up, baby)<br>Twist and shout (Twist and shout)<br>C'mon, c'mon, c'mon, c'mon, baby, now (Come on, baby)<br>Come on and work it on out (Work it on out)<br><br>Well, you twist, you little girl (Twist, little girl)<br>You know you twist so fine (Twist so fine)<br>Come on and twist a little closer now (Twist a little closer)<br>And let me know that you're mine (Let me know you're mine)<br><br>Well, shake it, shake it, shake it, baby, now (Shake it up baby)<br>Well, shake it, shake it, shake it, baby, now (Shake it up baby)<br>Well, shake it, shake it, shake it, baby, now (Shake it up baby)"
Two Of Us,4,Two of us riding nowhere<br>Spending someone's<br>Hard earned pay<br>You and me Sunday driving<br>Not arriving<br>On our way back home<br>We're on our way home<br>We're on our way home<br>We're going home<br><br>Two of us sending postcards<br>Writing letters<br>On my wall<br>You and me burning matches<br>Lifting latches<br>On our way back home<br>We're on our way home<br>We're on our way home<br>We're going home<br><br>You and I have memories<br>Longer than the road that stretches out ahead<br><br>Two of us wearing raincoats<br>Standing solo<br>In the sun<br>You and me chasing paper<br>Getting nowhere<br>On our way back home<br>We're on our way home<br>We're on our way home<br>We're going home<br><br>You and I have memories<br>Longer than the road that stretches out ahead<br><br>Two of us wearing raincoats<br>Standing solo<br>In the sun<br>You and me chasing paper<br>Getting nowhere<br>On our way back home<br>We're on our way home<br>We're on our way home<br>We're going home
Wait,4,"It's been a long time<br>Now I'm coming back home<br>I've been away now<br>Oh how, I've been alone<br><br>Wait till I come back to your side<br>We'll forget the tears we've cried<br><br>But if your heart breaks<br>Don't wait, turn me away<br>And if your heart's strong<br>Hold on, I won't delay<br><br>Wait till I come back to your side<br>We'll forget the tears we've cried<br><br>I feel as though<br>You ought to know<br>That I've been good<br>As good as I can be<br>And if you do<br>I'll trust in you<br>And know that you<br>Will wait for me<br><br>It's been a long time<br>Now I'm coming back home<br>I've been away now<br>Oh how, I've been alone<br><br>Wait till I come back to your side<br>We'll forget the tears we've cried<br><br>I feel as though<br>You ought to know<br>That I've been good<br>As good as I can be<br>And if you do<br>I'll trust in you<br>And know that you<br>Will wait for me<br><br>But if your heart breaks<br>Don't wait, turn me away<br>And if your heart's strong<br>Hold on, I won't delay<br><br>Wait till I come back to your side<br>We'll forget the tears we've cried<br><br>It's been a long time<br>Now I'm coming back home<br>I've been away now<br>Oh how, I've been alone"
We Can Work It Out,1,"Try to see it my way<br>Do I have to keep on talking till I can't go on?<br>While you see it your way<br>Run the risk of knowing that our love may soon be gone<br><br>We can work it out<br>We can work it out<br><br>Think of what you're saying<br>You can get it wrong and still you think that it's alright<br>Think of what I'm saying<br>We can work it out and get it straight, or say goodnight<br><br>We can work it out<br>We can work it out<br><br>Life is very short, and there's no time<br>For fussing and fighting, my friend<br>I have always thought that it's a crime<br>So I will ask you once again<br><br>Try to see it my way<br>Only time will tell if I am right or I am wrong<br>While you see it your way,<br>There's a chance that we might fall apart before too long<br><br>We can work it out<br>We can work it out<br><br>Life is very short, and there's no time<br>For fussing and fighting, my friend<br>I have always thought that it's a crime<br>So I will ask you once again<br><br>Try to see it my way<br>Only time will tell if I am right or I am wrong<br>While you see it your way<br>There's a chance that we might fall apart before too long<br><br>We can work it out<br>We can work it out"
What Goes On,4,What goes on in your heart?<br>What goes on in your mind?<br>You are tearing me apart<br>When you treat me so unkind<br>What goes on in your mind?<br><br>The other day I saw you<br>As I walked along the road<br>But when I saw him with you<br>I could feel my future fold<br>It's so easy for a girl like you to lie<br>Tell me why<br><br>What goes on in your heart?<br>What goes on in your mind?<br>You are tearing me apart<br>When you treat me so unkind<br>What goes on in your mind?<br><br>I met you in the morning<br>Waiting for the tides of time<br>But now the tide is turning<br>I can see that I was blind<br>It's so easy for a girl like you to lie<br>Tell me why<br><br>What goes on in your heart?<br><br>I used to think of no one else<br>But you were just the same<br>You didn't even think of me<br>As someone with a name<br>Did you mean to break my heart and watch me die<br>Tell me why<br><br>What goes on in your heart?<br>What goes on in your mind?<br>You are tearing me apart<br>When you treat me so unkind<br>What goes on in your mind?
What You're Doing,4,"Look what you're doing, I'm feeling blue and lonely<br>Would it be too much to ask of you<br>What you're doing to me?<br><br>You got me running and there's no fun in it<br>Why should it be so much to ask of you<br>What you're doing to me?<br><br>I've been waiting here for you<br>Wond'ring what you're gonna do<br>And should you need a love that's true<br>It's me<br><br>Please stop your lying, you've got me crying, girl<br>Why should it be so much to ask of you<br>What you're doing to me?<br><br>I've been waiting here for you<br>Wond'ring what you're gonna do<br>And should you need a love that's true<br>It's me<br><br>Please stop your lying, you've got me crying, girl<br>Why should it be so much to ask of you<br>What you're doing to me?<br>What you're doing to me?<br>What you're doing to me?"
When I Get Home,4,"Whoa-I, whoa-I<br>I got a whole lot of things to tell her<br>When I get home<br>Come on, out of my way<br>Cos I'm gonna see my baby today<br>I've got a whole lot of things I've gotta say<br>To her<br><br>Whoa-I, whoa-I<br>I got a whole lot of things to tell her<br>When I get home<br>Come on if you please<br>I've got no time for trivialities<br>I've got a girl who's waiting home for me tonight<br><br>Whoa-I, whoa-I<br>I got a whole lot of things to tell her<br>When I get home<br>When I'm getting home tonight<br>I'm gonna hold her tight<br>I'm gonna love her till the cows come home<br>I bet I'll love her more<br>Till I walk out that door<br>Again<br><br>Come on, let me through<br>I've got so many things I've got to do<br>I've got no business being here with you<br>This way<br><br>Whoa-I, whoa-I<br>I've got a whole lot of things to tell her<br>When I get home, yeah<br>I've got a whole lot of things to tell her<br>When I get home"
When I'm Sixty-Four,4,"When I get older losing my hair<br>Many years from now<br>Will you still be sending me a valentine<br>Birthday greetings, bottle of wine?<br>If I'd been out till quarter to three<br>Would you lock the door?<br>Will you still need me, will you still feed me<br>When I'm sixty four?<br><br>You'll be older too<br>And if you say the word<br>I could stay with you<br><br>I could be handy, mending a fuse<br>When your lights have gone<br>You can knit a sweater by the fireside<br>Sunday mornings go for a ride<br>Doing the garden, digging the weeds<br>Who could ask for more?<br>Will you still need me, will you still feed me<br>When I'm sixty four?<br><br>Every summer we can rent a cottage in the Isle of Wight<br>If it's not too dear<br>We shall scrimp and save<br>Grandchildren on your knee<br>Vera, Chuck and Dave<br><br>Send me a postcard, drop me a line<br>Stating point of view<br>Indicate precisely what you mean to say<br>Yours sincerely, wasting away<br>Give me your answer, fill in a form<br>Mine forevermore<br>Will you still need me, will you still feed me<br>When I'm sixty four?<br>Ho!"
While My Guitar Gently Weeps,2,"I look at you all, see the love there that's sleeping<br>While my guitar gently weeps<br>I look at the floor and I see it needs sweeping<br>Still my guitar gently weeps<br><br>I don't know why nobody told you<br>How to unfold your love<br>I don't know how someone controlled you<br>They bought and sold you<br><br>I look at the world and I notice it's turning<br>While my guitar gently weeps<br>With every mistake we must surely be learning<br>Still my guitar gently weeps<br><br>Well...<br><br>I don't know how you were diverted<br>You were perverted too<br>I don't know how you were inverted<br>No one alerted you<br><br>I look at you all, see the love there that's sleeping<br>While my guitar gently weeps<br>Look at you all<br>Still my guitar gently weeps<br><br>Oh, oh<br>Oh, oh, oh, oh, oh, oh, oh<br>Oh, oh, oh, oh<br><br>Yeah, yeah, yeah, yeah, yeah<br>Yeah, yeah, yeah, yeah, oh, ooh"
Why Don't We Do It In The Road,4,"Why don't we do it in the road? Mm<br>Why don't we do it in the road? Ah<br>Why don't we do it in the road? Mm<br>Why don't we do it in the road? Mm<br>No one will be watching us<br>Why don't we do it in the road?<br><br>Why don't we do it in the road?<br>Why don't we do it in the road?<br>Why don't we do it in the road?<br>Why don't we do it in the road?<br>No one will be watching us<br>Why don't we do it in the road?<br><br>Ooh<br><br>Why don't we do it in the road?<br>Why don't we do it in the road?<br>Why don't we do it, do it in the road?<br>Why don't we do it in the road?<br>No one will be watching us<br>Why don't we do it in the road?"
Wild Honey Pie,4,"Honey Pie<br>Honey Pie<br><br>Honey Pie<br>Honey Pie<br><br>Honey Pie<br>Honey Pie<br>Honey Pie<br>Honey Pie<br><br>I love you, Honey Pie"
With A Little Help From My Friends,2,"Billy Shears<br><br>What would you think if I sang out of tune<br>Would you stand up and walk out on me?<br>Lend me your ears and I'll sing you a song<br>And I'll try not to sing out of key<br>Oh I get by with a little help from my friends<br>Mm I get high with a little help from my friends<br>Mm gonna try with a little help from my friends<br><br>What do I do when my love is away?<br>(Does it worry you to be alone?)<br>How do I feel by the end of the day?<br>(Are you sad because you're on your own?)<br>No I get by with a little help from my friends<br>Mm I get high with a little help from my friends<br>Mm gonna try with a little help from my friends<br><br>(Do you need anybody?)<br>I need somebody to love<br>(Could it be anybody?)<br>I want somebody to love<br><br>(Would you believe in a love at first sight?)<br>Yes I'm certain that it happens all the time<br>(What do you see when you turn out the light?)<br>I can't tell you, but I know it's mine<br>Oh I get by with a little help from my friends<br>Mm I get high with a little help from my friends<br>Oh I'm gonna try with a little help from my friends<br><br>(Do you need anybody?)<br>I just need someone to love<br>(Could it be anybody?)<br>I want somebody to love<br><br>Oh I get by with a little help from my friends<br>Mm gonna try with a little help from my friends<br>Oh I get high with a little help from my friends<br>Yes I get by with a little help from my friends<br>With a little help from my friends"
Within You Without You,3,"We were talking about the space between us all<br>And the people who hide themselves behind a wall of illusion<br>Never glimpse the truth, then it's far too late, when they pass away<br>We were talking about the love we all could share<br>When we find it, to try our best to hold it there with our love<br>With our love, we could save the world, if they only knew<br><br>Try to realise it's all within yourself<br>No one else can make you change<br>And to see you're really only very small<br>And life flows on within you and without you<br><br>We were talking about the love that's gone so cold<br>And the people who gain the world and lose their soul<br>They don't know, they can't see, are you one of them?<br><br>When you've seen beyond yourself then you may find<br>Peace of mind is waiting there<br>And the time will come when you see we're all one<br>And life flows on within you and without you"
Words Of Love,4,Hold me close and tell me how you feel<br>Tell me love is real<br>Words of love you whisper soft and true<br>Darling I love you<br><br>Let me hear you say the words I long to hear<br>Darling when you're near<br>Words of love you whisper soft and true<br>Darling I love you
Yellow Submarine,1,"In the town where I was born<br>Lived a man who sailed to sea<br>And he told us of his life<br>In the land of submarines<br><br>So we sailed up to the sun<br>'Til we found the sea of green<br>And we lived beneath the waves<br>In our yellow submarine<br><br>We all live in a yellow submarine<br>Yellow submarine, yellow submarine<br>We all live in a yellow submarine<br>Yellow submarine, yellow submarine<br><br>And our friends are all aboard<br>Many more of them live next door<br>And the band begins to play<br><br>We all live in a yellow submarine<br>Yellow submarine, yellow submarine<br>We all live in a yellow submarine<br>Yellow submarine, yellow submarine<br><br>Full speed ahead, Mr. Boatswain, full speed ahead!<br>Full speed it is, Sergeant!<br>Cut the cable, drop the cable!<br>Aye-aye, sir, aye-aye!<br>Captain, Captain!<br><br>As we live a life of ease (a life of ease)<br>Everyone of us (everyone of us) has all we need (has all we need)<br>Sky of blue (sky of blue) and sea of green (sea of green)<br>In our yellow (in our yellow) submarine (submarine, ah-ha)<br><br>We all live in a yellow submarine<br>Yellow submarine, yellow submarine<br>We all live in a yellow submarine<br>Yellow submarine, yellow submarine<br><br>We all live in a yellow submarine<br>Yellow submarine, yellow submarine<br>We all live in a yellow submarine<br>Yellow submarine, yellow submarine"
Yer Blues,4,"Two, three<br><br>Yes I'm lonely wanna die<br>Yes I'm lonely wanna die<br>If I ain't dead already<br>Ooh girl you know the reason why<br><br>In the morning wanna die<br>In the evening wanna die<br>If I ain't dead already<br>Ooh girl you know the reason why<br><br>My mother was of the sky<br>My father was of the earth<br>But I am of the universe<br>And you know what it's worth<br>I'm lonely wanna die<br>If I ain't dead already<br>Ooh girl you know the reason why<br><br>The eagle picks my eye<br>The worm he licks my bone<br>I feel so suicidal<br>Just like Dylan's Mr. Jones<br>Lonely wanna die<br>If I ain't dead already<br>Ooh girl you know the reason why<br><br>Black cloud crossed my mind<br>Blue mist 'round my soul<br>Feel so suicidal<br>Even hate my rock 'n' roll<br>Wanna die yeah wanna die<br>If I ain't dead already<br>Ooh girl you know the reason why<br><br>Wanna die<br>Yes, I'm lonely<br>Wanna die<br>The only reason why<br>Wanna die"
Yes It Is,4,"If you wear red tonight<br>Remember what I said tonight<br>For red is the color that my baby wore<br>And what's more it's true<br>Yes, it is<br><br>Scarlet were the clothes she wore<br>Everybody knows I'm sure<br>I would remember all the things we planned<br>Understand, it's true<br>Yes, it is, it's true<br>Yes, it is<br><br>I could be happy with you by my side<br>If I could forget her, but it's my pride<br>Yes, it is, yes, it is<br>Oh, yes it is, yeah<br><br>Please don't wear red tonight<br>This is what I said tonight<br>For red is the color that will make me blue<br>In spite of you, it's true<br>Yes, it is, it's true<br>Yes, it is<br><br>I could be happy with you by my side<br>If I could forget her, but it's my pride<br>Yes, it is, yes, it is<br>Oh, yes, it is, yeah<br><br>Please don't wear red tonight<br>This is what I said tonight<br>For red is the color that will make me blue<br>In spite of you, it's true<br>Yes, it is, it's true<br>Yes, it is, it's true"
